variable,normalization.method,normalization.type,lowest.value,highest.value,weight,default
Estimated_jobs,observe,larger_better,0,100,1,off
Clinic,reference,smaller_better,0,1500,1,on
Hospital,reference,smaller_better,0,3000,1,on
High_school,reference,smaller_better,0,3000,1,on
Kindergarten,reference,smaller_better,0,500,1,off
Elementary_school,reference,smaller_better,0,1000,1,on
Junior_High,reference,smaller_better,0,1000,1,on
Higher_Education,observe,smaller_better,0,100,1,on
Commercial,reference,smaller_better,0,1150,1,off
Urban_services,observe,smaller_better,0,100,1,off
Government_buildings,observe,smaller_better,0,100,1,off
Cultural_centers,observe,smaller_better,0,100,1,off
Urban_parks,reference,smaller_better,0,550,1,on
Bus,observe,smaller_better,0,100,1,on
Recreational,observe,smaller_better,0,100,1,off
Population_density_ha,reference,larger_better,90,270,1,off
Dwelling_density,observe,smaller_better,0,100,1,off
Flooding_risk,observe,smaller_better,0,100,1,off
