variable,normalization.method,normalization.type,lowest.value,highest.value,weight,default
Clinic,reference,smaller_better,0,1500,2,on
Hospital,reference,smaller_better,0,3000,2,on
High_school,reference,smaller_better,0,3000,1,on
Kindergarten,reference,smaller_better,0,500,1,on
Elementary_school,refrence,smaller_better,0,1000,1,on
Junior_high,reference,smaller_better,0,1000,1,on
Higher_education,observe,smaller_better,0,100,1,off
Commercial,reference,smaller_better,0,1150,1,off
Other_services,observe,smaller_better,0,100,1,off
Government_buildings,observe,smaller_better,0,100,1,off
Cultural_centers,observe,smaller_better,0,100,1,off
BRT,observe,smaller_better,0,100,1,off
Train_stations,observe,smaller_better,0,100,1,off
Recreational,observe,smaller_better,0,100,1,off
Urban_parks,reference,smaller_better,0,550,1,off
Walkability,observe,smaller_better,0,100,1,off
Population_density,reference,larger_better,90,270,1,off
Dwelling_density,observe,smaller_better,0,100,1,off
Total_dwellings,observe,smaller_better,0,100,1,off
Flooding_risk,observe,smaller_better,0,100,1,off
Land_subsidence,observe,smaller_better,0,100,1,off
Seismic_zone,observe,smaller_better,0,100,1,off
