,zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,city.y,state.y,county
1001,1001,60.37489,0,6115,Agawam,MA,12293,4219,22.06947,73.40212,-8.536957202,115.3215869,Agawam,MA,Hampden
1002,1002,93.69713,0,975,Amherst,MA,14232,5081,68.52867,82.63116,-8.715102569,115.1849513,Amherst,MA,Hampshire
1005,1005,58.31555,0,6511,Barre,MA,3348,1400,20.51971,73.19553,-8.675808368,115.1858361,Barre,MA,Worcester
1007,1007,73.90479,0,3914,Belchertown,MA,8577,3547,31.38627,79.51516,-8.649938718,115.234333,Belchertown,MA,Hampshire
1008,1008,67.29552,0,4922,Blandford,MA,845,348,25.79882,77.63875,-8.790240676,115.1742914,Blandford,MA,Hampden
1010,1010,69.76566,0,4540,Brimfield,MA,2252,887,27.79751,78.38147,-8.783515692,115.171672,Brimfield,MA,Hampden
1011,1011,53.51199,0,7461,Chester,MA,1392,562,20.97701,66.25217,-8.732236313,115.1790252,Chester,MA,Hampden
1012,1012,61.43032,0,NA,Chesterfield,MA,353,139,23.22946,72.73525,-8.566810051,115.2143815,Chesterfield,MA,Hampshire
1013,1013,19.7488,0,16563,Chicopee,MA,15464,5902,10.79281,52.71066,-8.670614535,115.2138163,Chicopee,MA,Hampden
1020,1020,35.73232,0,11659,Chicopee,MA,20681,7857,13.21019,61.70303,-8.523637683,115.256415,Chicopee,MA,Hampden
1022,1022,41.91482,0,10063,Chicopee,MA,1550,492,15.80645,62.83802,-8.664048683,115.2401483,Chicopee,MA,Hampden
1026,1026,71.10106,0,4326,Cummington,MA,715,285,38.46154,62.55689,-8.704331669,115.2177208,Cummington,MA,Hampshire
1027,1027,62.67937,0,5702,Easthampton,MA,12506,4612,24.83608,71.93761,-8.721509485,115.1844731,Easthampton,MA,Hampshire
1028,1028,80.53981,0,2888,East Longmeadow,MA,9871,3997,32.67146,92.616,-8.673639637,115.2324396,East Longmeadow,MA,Hampden
1029,1029,57.07029,0,NA,East Otis,MA,402,172,24.62687,64.56275,-8.8044116,115.2172359,East Otis,MA,Berkshire
1030,1030,64.45013,0,5401,Feeding Hills,MA,7865,3228,20.47044,82.06367,-8.5395546,115.1190891,Feeding Hills,MA,Hampden
1031,1031,51.39536,0,7922,Gilbertville,MA,798,310,16.91729,70.51756,-8.6148576,115.2575308,Gilbertville,MA,Worcester
1032,1032,76.05653,0,NA,Goshen,MA,157,48,42.67516,64.56275,-8.5387815,115.3949388,Goshen,MA,Hampshire
1033,1033,62.46228,0,5749,Granby,MA,4156,1695,22.95476,74.83395,-8.6053647,115.3134789,Granby,MA,Hampshire
1034,1034,73.71946,0,3939,Granville,MA,1332,525,31.00601,79.89828,-8.5390085,115.1319843,Granville,MA,Hampden
1035,1035,81.09335,0,2802,Hadley,MA,3486,1240,40.2467,80.93652,-8.7602199,115.1758366,Hadley,MA,Hampshire
1036,1036,82.44339,0,2600,Hampden,MA,3500,1448,32.77143,97.4162,-8.5505479,115.2725857,Hampden,MA,Hampden
1037,1037,73.96235,0,NA,Hardwick,MA,456,196,33.99123,75.187,-8.7991914,115.2283739,Hardwick,MA,Worcester
1038,1038,71.10281,0,4324,Hatfield,MA,1917,727,29.6818,77.71328,-8.6280229,115.1712761,Hatfield,MA,Hampshire
1039,1039,76.95435,0,3441,Haydenville,MA,840,307,36.54762,77.09348,-8.675601312,115.2116396,Haydenville,MA,Hampshire
1040,1040,25.87038,0,14568,Holyoke,MA,24509,9530,16.93256,47.24359,-8.677676202,115.2124248,Holyoke,MA,Hampden
1050,1050,55.07983,0,7137,Huntington,MA,1579,677,20.45598,69.16943,-8.678147335,115.2124069,Huntington,MA,Hampshire
1053,1053,82.11803,0,2656,Leeds,MA,1108,340,41.42599,81.49094,-8.678582776,115.212489,Leeds,MA,Hampshire
1054,1054,93.36085,0,1022,Leverett,MA,993,379,62.63847,89.8975,-8.650847601,115.2131769,Leverett,MA,Franklin
1056,1056,50.34317,0,8153,Ludlow,MA,14770,5492,14.7935,73.02031,-8.650533511,115.2132054,Ludlow,MA,Hampden
1057,1057,63.55261,0,5563,Monson,MA,5648,2212,22.66289,76.8215,-8.677628217,115.2053435,Monson,MA,Hampden
1060,1060,85.23329,0,2185,Northampton,MA,10508,2740,52.02703,72.37566,-8.656875351,115.1909297,Northampton,MA,Hampshire
1062,1062,77.6789,0,3318,Florence,MA,8082,2820,39.08686,74.4299,-8.670678104,115.2178818,Florence,MA,Hampshire
1068,1068,74.94199,0,3748,Oakham,MA,1093,480,30.64959,83.10191,-8.663391749,115.218694,Oakham,MA,Worcester
1069,1069,44.30692,0,9536,Palmer,MA,6746,2630,14.20101,67.69183,-8.652311766,115.2234973,Palmer,MA,Hampden
1070,1070,65.58483,0,NA,Plainfield,MA,392,154,32.14286,63.7455,-8.649456255,115.2263679,Plainfield,MA,Hampshire
1071,1071,45.79738,0,9174,Russell,MA,1116,477,17.29391,63.7455,-8.662535062,115.2206116,Russell,MA,Hampden
1072,1072,90.28671,0,1468,Shutesbury,MA,965,395,59.06736,78.61945,-8.663555851,115.220169,Shutesbury,MA,Franklin
1073,1073,76.38805,0,3534,Southampton,MA,3669,1536,31.28918,84.9417,-8.622794586,115.1993073,Southampton,MA,Hampshire
1075,1075,73.67162,0,3948,South Hadley,MA,11317,4212,32.87974,76.61359,-8.637054701,115.2209769,South Hadley,MA,Hampshire
1077,1077,66.82526,0,5006,Southwick,MA,5950,2419,21.42857,84.28267,-8.638885102,115.2165695,Southwick,MA,Hampden
1080,1080,17.06281,0,17444,Three Rivers,MA,1731,715,9.58983,52.43345,-8.641846454,115.2519305,Three Rivers,MA,Hampden
1081,1081,43.37415,0,9730,Wales,MA,1118,452,14.22182,66.85628,-8.635825823,115.2510965,Wales,MA,Hampden
1082,1082,34.75761,0,11882,Ware,MA,6688,2664,13.83074,59.91946,-8.648267551,115.212824,Ware,MA,Hampshire
1083,1083,27.71169,0,13996,Warren,MA,1474,663,11.87246,57.42587,-8.644233057,115.2107906,Warren,MA,Worcester
1084,1084,77.21785,0,NA,West Chesterfield,MA,104,45,36.53846,77.63875,-8.643988091,115.209769,West Chesterfield,MA,Hampshire
1085,1085,62.54724,0,5727,Westfield,MA,25900,10230,24.37452,72.51949,-8.646056557,115.2243033,Westfield,MA,Hampden
1088,1088,67.3722,0,NA,West Hatfield,MA,420,134,21.19048,85.69487,-8.656875351,115.1909297,West Hatfield,MA,Hampshire
1089,1089,53.86615,0,7380,West Springfield,MA,19168,7193,21.55676,65.74874,-8.668380911,115.2279279,West Springfield,MA,Hampden
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
