"lon","lat"
110.3133347,-7.035245228
110.3138965,-7.030682891
110.3173754,-7.084689562
110.3174887,-7.041856544
110.3177776,-7.051411873
110.3182337,-6.977242141
110.3182822,-6.971635303
110.319904,-6.980753911
110.3199605,-7.031250073
110.3216286,-7.092813668
110.3219713,-7.082855896
110.3237829,-7.086589736
110.3249995,-7.083061987
110.3253501,-6.983504681
110.326349,-6.976608392
110.3290302,-6.979052632
110.3299522,-6.974482309
110.334614,-6.981329614
110.3348412,-6.998065129
110.3362028,-7.002841783
110.3368366,-6.982855402
110.3439562,-6.987060475
110.3457433,-6.993839687
110.3460494,-7.032539657
110.3465473,-6.9963014
110.3473349,-7.028392741
110.3473903,-6.98518954
110.3477098,-6.996455881
110.3508971,-6.98924832
110.3510945,-6.992435271
110.3584067,-6.988895565
110.359479,-6.988309428
110.3616791,-6.987145315
110.3618416,-6.986459792
110.4034091,-6.9733727
110.4106203,-7.153971507
110.404236,-7.1282084
110.3963771,-6.97383475
110.3818335,-7.0178025
110.4061006,-7.1407228
110.4002588,-6.9823059
110.4166555,-7.0317145
110.4390417,-6.952591
110.4272233,-6.9736353
110.3818491,-7.019217
110.4304135,-6.965834255
110.3992982,-6.9865308
110.3859673,-7.0080534
110.3947746,-7.0098952
110.4098921,-6.977783833
110.4088209,-7.134523
110.4104703,-7.136086
110.4291378,-6.988346486
110.3983114,-6.9867066
110.4180272,-6.962402505
110.4452364,-7.0622688
110.3872872,-7.0165423
110.3837392,-7.00308812
110.3990003,-6.978533136
110.3646199,-7.068415
110.4092892,-6.9653955
110.3888879,-7.0127275
110.4073335,-7.0499568
110.4411347,-6.953841314
110.2875726,-7.005584736
110.2918808,-7.038238559
110.294746,-6.97206463
110.2947772,-7.005060548
110.2962982,-7.037337635
110.2982538,-6.968596974
110.299528,-6.973281865
110.3001159,-6.971568401
110.3023759,-6.972035623
110.3036162,-7.037373791
110.3036721,-7.000467739
110.3041674,-7.073829369
110.3087041,-7.077769004
110.3090971,-6.972287526
110.3099002,-7.08805677
110.310389,-7.04777067
110.3124574,-7.048378777
110.3159117,-6.975065928
110.3168879,-7.055797257
110.3179924,-7.004429227
110.3194348,-6.998118508
110.3196354,-7.057944191
110.3208966,-7.006268784
110.3235681,-6.973417752
110.3266675,-7.034703958
110.3308874,-6.998238011
110.3310183,-7.000474692
110.3312396,-6.997099125
110.3320393,-7.083979741
110.3322881,-7.001807635
110.332811,-7.05627408
110.3340459,-7.000700844
110.3342693,-7.059982166
110.3355004,-7.081488821
110.335927,-6.998021055
110.3360633,-7.076094493
110.3382196,-7.004115259
110.3401469,-6.997280744
110.342494,-6.993391447
110.3426104,-7.054364952
110.3522334,-7.000907756
110.3527303,-6.97721003
110.35281,-6.992659489
110.3529669,-6.982475903
110.3534662,-6.985197911
110.3539698,-7.039775672
110.354041,-6.978240438
110.3542858,-7.074731317
110.3545786,-7.097185564
110.3547055,-6.994094079
110.3555822,-7.002505695
110.356202,-6.992139746
110.3567905,-7.04993438
110.3603565,-7.048280518
110.3643042,-7.033923484
110.3650579,-7.075231619
110.3665009,-7.056501764
110.3687175,-6.983411727
110.3691465,-6.976240991
110.369483,-7.097165589
110.3697241,-6.974192815
110.3701672,-6.979688309
110.3703855,-7.088711201
110.3706132,-7.070141514
110.3707931,-7.009754779
110.3717817,-6.994991964
110.3718264,-6.98928582
110.3725287,-6.991065313
110.3728726,-7.046355517
110.374865,-7.014068345
110.3752025,-7.018344606
110.3766193,-7.015583347
110.3766754,-6.99614712
110.3774251,-7.094263367
110.3789821,-6.990518064
110.3791222,-6.99678026
110.3791327,-6.988850863
110.379773,-7.012138635
110.3799158,-6.992114962
110.3800108,-6.992495609
110.3804502,-7.073229475
110.3810556,-6.993003366
110.38185,-7.013875902
110.3819303,-7.025976917
110.382862,-7.001194525
110.3832469,-6.990449559
110.3832722,-6.999453556
110.3835127,-6.985781184
110.3838444,-7.016984542
110.3840965,-6.997557281
110.3848422,-7.059560616
110.3860871,-7.015515146
110.3860897,-7.000198307
110.386512,-6.993738461
110.3873534,-6.969593853
110.3874039,-6.987787139
110.3874124,-6.999393389
110.387551,-6.988750718
110.3879177,-6.991937786
110.388031,-6.990307584
110.3883324,-7.08477032
110.3883974,-6.984055403
110.3889197,-6.991383286
110.3894625,-7.001721885
110.3895065,-7.01309288
110.3895547,-6.987864036
110.3896099,-7.002500197
110.3898479,-7.106005222
110.3899405,-7.010735445
110.390201,-7.010332395
110.390769,-7.012484212
110.3910204,-6.972859295
110.3911257,-6.977417003
110.3911627,-7.010073511
110.3913461,-6.979047639
110.3913821,-6.979936967
110.3917995,-7.034890528
110.3918964,-6.98371708
110.3920064,-6.984680611
110.3928558,-7.009485405
110.3930688,-6.96596999
110.3932084,-6.972788004
110.3934331,-7.024292714
110.3936536,-7.001430878
110.393669,-6.989499697
110.3942054,-6.976124095
110.3942093,-7.001876235
110.3942784,-6.976976418
110.3943301,-6.965601072
110.3946734,-7.014802848
110.3947713,-6.995880433
110.3948193,-7.016611522
110.3948762,-6.973531213
110.3949289,-6.993810833
110.3949533,-7.000098629
110.3952606,-6.991836109
110.3954472,-6.990947066
110.3954697,-7.102421535
110.3955049,-6.974865943
110.3958147,-6.964639581
110.3960675,-6.998840243
110.396199,-7.010630287
110.3964708,-7.009530082
110.3965189,-6.964862802
110.3965977,-6.990207472
110.3970624,-7.008920535
110.3974353,-6.973275111
110.3975808,-6.975461452
110.3976379,-7.020797252
110.3976608,-6.97913432
110.3981497,-6.994581765
110.3982384,-7.005500318
110.3986888,-6.979344004
110.3988592,-7.08721151
110.3988794,-6.974907305
110.4002828,-7.051084585
110.4005962,-7.003480681
110.4011298,-6.984173537
110.4011313,-6.982987827
110.401238,-6.986545098
110.4012714,-6.989435311
110.4012914,-6.984621635
110.4015139,-6.958689891
110.4016882,-7.001522711
110.4018821,-6.960657972
110.401964,-7.066420236
110.4020484,-7.00172327
110.4024701,-6.996240464
110.402675,-6.957483523
110.4028492,-6.984573277
110.4029015,-7.000213591
110.4029818,-7.000103637
110.4031593,-6.99063142
110.4037034,-6.985673547
110.4039192,-6.971740839
110.4042046,-6.959895191
110.4042305,-6.975096849
110.4045625,-6.962012609
110.4047776,-6.995798278
110.4052061,-6.970008349
110.4053664,-6.985187119
110.4055159,-6.974557967
110.4055865,-6.972170837
110.4056595,-6.967914473
110.4059099,-6.965955467
110.4062272,-7.01445712
110.406449,-6.99906269
110.4067408,-7.099723079
110.4067823,-6.986825473
110.4072063,-6.974605134
110.4074192,-6.985775938
110.4079493,-6.95726494
110.4079637,-6.977748788
110.4080505,-6.989196431
110.4085548,-7.029689581
110.4088104,-6.987609667
110.4089291,-7.098754885
110.4093255,-6.967027945
110.4094146,-7.012549805
110.4096224,-6.971027331
110.4096812,-7.014406548
110.4098781,-7.057863112
110.4099976,-6.996087128
110.4106153,-6.990909497
110.4106155,-7.010230804
110.4108082,-6.979317919
110.4109887,-6.981118553
110.4110458,-6.977204693
110.4111201,-7.060881746
110.411323,-7.095359475
110.4114709,-6.970781906
110.4115017,-7.08221092
110.4116395,-7.012503745
110.4116452,-6.966570705
110.4116761,-7.104382005
110.4117517,-7.076668517
